57.6	{0.0774, 0.000087}
72.6	{0.069169, 0.000087}
87.6	{0.060225, 0.000076}
102.6	{0.053932, 0.000075}
117.6	{0.048861, 0.000072}
132.6	{0.044679, 0.00007}
147.6	{0.040592, 0.000067}
162.6	{0.036916, 0.000069}
177.6	{0.03418, 0.000063}
202.6	{0.030494, 0.000043}
222.6	{0.026964, 0.000061}
237.6	{0.02498, 0.00013}
252.6	{0.023346, 0.000061}
267.6	{0.021932, 0.000062}
282.6	{0.020281, 0.000057}
297.6	{0.018578, 0.000056}
312.6	{0.017684, 0.000054}
327.6	{0.016402, 0.000058}
342.6	{0.015582, 0.000052}
357.6	{0.01492, 0.000054}
372.6	{0.013514, 0.000051}
402.6	{0.011915, 0.00004}
452.6	{0.010261592243763051, 0.00009932795605303458}
502.6	{0.008327149962710006, 0.00008888901190911769}
602.6	{0.006157645053452523, 0.00007740109474814386}
652.6	{0.0051338481425978275, 0.00007061215060955865}
702.6	{0.004153009248572703, 0.00006320065500187226}
752.6	{0.003659808072855714, 0.000059495312076901226}
802.6	{0.0029632646536006425, 0.00005310203157124855}
852.6	{0.0023657229764996288, 0.0000465841544282119}
902.6	{0.002136133748745045, 0.00004487438283706807}
952.6	{0.0018738701943076701, 0.000042090848270503026}
1002.6	{0.0015888379394781672, 0.000038809906329582857}
1052.6	{0.0013411108350461908, 0.000035526893908584}
1102.6	{0.0010855056924831824, 0.00003213581237220484}
