57.6	{0.0774, 0.0018}
72.6	{0.06756999999999999, 0.0008}
87.6	{0.0602, 0.0011}
102.6	{0.05393, 0.00085}
117.6	{0.04886, 0.0007}
132.6	{0.04468, 0.00091}
147.6	{0.04059, 0.00084}
162.6	{0.03692, 0.00064}
177.6	{0.03418, 0.00072}
192.6	{0.03044, 0.00092}
202.6	{0.02927, 0.00061}
222.6	{0.02696, 0.0007}
237.6	{0.02498, 0.00071}
252.6	{0.02335, 0.00049}
267.6	{0.02193, 0.00077}
282.6	{0.02028, 0.00038}
297.6	{0.01858, 0.00034}
312.6	{0.01768, 0.00035}
327.6	{0.0164, 0.0023}
342.6	{0.01558, 0.00032}
357.6	{0.01492, 0.00043}
372.6	{0.01351, 0.00026}
387.6	{0.01264, 0.00047}
402.6	{0.01191, 0.00026}
452.6	{0.010261592243763051, 0.00009932795605303458}
502.6	{0.008327149962710006, 0.00008888901190911769}
602.6	{0.006157645053452523, 0.00007740109474814386}
652.6	{0.0051338481425978275, 0.00007061215060955865}
702.6	{0.004153009248572703, 0.00006320065500187226}
752.6	{0.003659808072855714, 0.000059495312076901226}
802.6	{0.0029632646536006425, 0.00005310203157124855}
852.6	{0.0023657229764996288, 0.0000465841544282119}
902.6	{0.002136133748745045, 0.00004487438283706807}
952.6	{0.0018738701943076701, 0.000042090848270503026}
1002.6	{0.0015888379394781672, 0.000038809906329582857}
1052.6	{0.0013411108350461908, 0.000035526893908584}
1102.6	{0.0010855056924831824, 0.00003213581237220484}
