55	0.0731 ± 0.00025
80	0.06073 ± 0.00022
105	0.05175 ± 0.00025
130	0.0455 ± 0.00023
155	0.04054 ± 0.0002
180	0.034844 ± 0.000016
180	0.0428 ± 0.0032
180	0.034963 ± 0.000039
380	0.015207 ± 0.000042
380	0.014869 ± 0.000022
200	0.036489 ± 0.000038
220	0.033416 ± 0.000039
240	0.030629 ± 0.000038
260	0.028244 ± 0.000042
280	0.025846 ± 0.000046
300	0.025018 ± 0.000076
320	0.021627 ± 0.000031
340	0.019777 ± 0.000031
360	0.018946 ± 0.000031
300	0.022817 ± 0.000074
